location_id,name,description,address1,address2,city_village,state_province,postal_code,country,latitude,longitude,creator,date_created,county_district,neighborhood_cell,region,subregion,township_division,retired,retired_by,date_retired,retire_reason,location_type_id,parent_location,uuid
1,Unknown,"A patient may or may not know the location where something occurred. The system should not use this value.",,,,NULL,,,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16cbe4-8d80-11d8-abbb-0024217bb78e
2,Other,"Legacy data may contain locations listed as ""other""",,,,NULL,,,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16d274-8d80-11d8-abbb-0024217bb78e
3,"Aa-salam Clinic","Health Centre , Private Health Facility",,,,NULL,,,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16d40e-8d80-11d8-abbb-0024217bb78e
4,"Admarc Dispensary","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16d594-8d80-11d8-abbb-0024217bb78e
5,"Adventist Health Centre","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16d71a-8d80-11d8-abbb-0024217bb78e
6,"African Bible College Health Centre","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16d896-8d80-11d8-abbb-0024217bb78e
7,"Alinafe Rehabilitation Centre","Rehabilitation Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16da12-8d80-11d8-abbb-0024217bb78e
8,"Area 18 Urban Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16de72-8d80-11d8-abbb-0024217bb78e
9,"Area 25 Banja La Mtsogolo Dispensary","Dispensary , Private Health Organisation (NGO/CBO)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16dff8-8d80-11d8-abbb-0024217bb78e
10,"Area 25 Urban Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16e174-8d80-11d8-abbb-0024217bb78e
